luogo_di_residenza,n_clienti,lat,lon,n_polizze_casa,penetrazione_casa,n_polizze_salute,penetrazione_salute,NDVI_mean,protection_gap_casa,protection_gap_salute,valore_immobiliare_medio,pg_casa_norm,pg_salute_norm,aff_norm,ndvi_norm,potential_score_casa,potential_score_salute
castelpagano,1,43.168764779206704,12.705444271490896,0.0,0.0,1.0,1.0,0.6382805443003191,1.0,0.0,160147.46819688616,1.0,0.0,0.08923778634882872,0.7032283215847629,0.4514232334231686,0.0
castelpetroso,1,41.88217873980489,11.25807028883642,0.0,0.0,0.0,0.0,0.0,1.0,1.0,390591.38212363096,1.0,1.0,0.4314407415667895,0.0,0.0,0.0
castelponzone,1,41.78216655496756,10.836741861631712,1.0,1.0,0.0,0.0,0.0,0.0,1.0,294040.9854895307,0.0,1.0,0.288066024080615,0.0,0.0,0.0
castelromano,2,41.68273734440487,12.432132782483237,2.0,1.0,0.0,0.0,0.6775239749352453,0.0,1.0,287591.09294070187,0.0,1.0,0.2784881087716901,0.7464649392524361,0.0,0.6427526555052944
castelsaraceno,1,43.38714000747898,13.327766166752207,0.0,0.0,0.0,0.0,0.3933015986704917,1.0,1.0,534018.2169897108,1.0,1.0,0.6444256970485526,0.43332171970374067,0.7415047656783371,0.7415047656783371
castelsardo,1,41.37266941269064,12.916693950197793,0.0,0.0,1.0,1.0,0.0,1.0,0.0,256506.46743598825,1.0,0.0,0.23232828390021162,0.0,0.0,0.0
castelspina,1,40.45638313955173,10.604987314939738,1.0,1.0,1.0,1.0,0.0,0.0,0.0,535970.0196822474,0.0,0.0,0.6473240710520454,0.0,0.0,0.0
casteltermini,1,41.2619568259289,13.170006727445864,1.0,1.0,1.0,1.0,0.0,0.0,0.0,344933.2960378813,0.0,0.0,0.3636397234279188,0.0,0.0,0.0
castelvecchio di rocca barbena,1,41.15574806663033,10.34499668521586,0.0,0.0,0.0,0.0,0.0,1.0,1.0,130369.03858394266,1.0,1.0,0.045017626911080855,0.0,0.0,0.0
castelvecchio di santa maria maggiore,1,40.277695370984375,12.07623916363308,0.0,0.0,0.0,0.0,0.0,1.0,1.0,250460.17920866053,1.0,1.0,0.22334971005013876,0.0,0.0,0.0
castelvecchio pascoli,1,41.337604715955,11.578289261275696,1.0,1.0,0.0,0.0,0.0,0.0,1.0,223092.5224726176,0.0,1.0,0.18270948287780506,0.0,0.0,0.0
castenaso,1,40.14940653926325,12.001058029909847,1.0,1.0,1.0,1.0,0.0,0.0,0.0,192606.9596265029,0.0,0.0,0.13743924978872643,0.0,0.0,0.0
castiglion fibocchi,1,43.16434288611212,11.419671361458828,0.0,0.0,0.0,0.0,0.2985416128771146,1.0,1.0,188623.2118653697,1.0,1.0,0.13152349252930026,0.32891949977406887,0.4356311474336572,0.4356311474336572
castiglioncello bandini,1,40.253499881891074,13.959840929559782,0.0,0.0,0.0,0.0,0.0,1.0,1.0,148445.78637698613,1.0,1.0,0.07186110656780831,0.0,0.0,0.0
castiglione a casauria,1,40.98583947855002,10.572790015520969,0.0,0.0,2.0,2.0,0.0,1.0,0.0,376307.1242273695,1.0,0.0,0.4102290064339188,0.0,0.0,0.0
castiglione cosentino,2,41.39667657747185,13.096822726164678,0.0,0.0,2.0,1.0,0.54379903279225,1.0,0.0,313022.6272820039,1.0,0.0,0.31625324675700955,0.5991329118908257,0.6390210040611172,0.0
castiglione cosentino stazione,1,43.025424218974536,13.17653824692909,0.0,0.0,0.0,0.0,0.7241008269186183,1.0,1.0,222577.99783767737,1.0,1.0,0.1819454277651803,0.7977811852785065,0.5732698504671305,0.5732698504671305
castiglione del genovesi,1,43.4988066907368,12.115748536108848,1.0,1.0,1.0,1.0,0.6589252817313722,0.0,0.0,354827.732671059,0.0,0.0,0.3783326931765866,0.72597374941088,0.0,0.0
castiglione del lago,1,43.1575185338477,10.67241019922072,1.0,1.0,0.0,0.0,0.7777868882726222,0.0,1.0,266272.975162311,0.0,1.0,0.24683128269569776,0.8569300331567669,0.0,0.6372489562723532
castiglione della valle,1,40.74070375538024,12.219368761486432,0.0,0.0,0.0,0.0,0.0,1.0,1.0,102077.25929402502,1.0,1.0,0.0030051028378187015,0.0,0.0,0.0
castiglione delle stiviere,1,42.65737716585886,10.856209824909737,1.0,1.0,1.0,1.0,0.0,0.0,0.0,268366.6303883195,0.0,0.0,0.249940303859847,0.0,0.0,0.0
castiglione di sicilia,1,43.63822171374881,10.07212803930092,1.0,1.0,1.0,1.0,0.0,0.0,0.0,202306.1934222994,0.0,0.0,0.15184234862398827,0.0,0.0,0.0
castiglione in teverina,1,42.35524108062489,10.356888672228957,1.0,1.0,1.0,1.0,0.0,0.0,0.0,286112.17324526823,0.0,0.0,0.2762919531792785,0.0,0.0,0.0
castiglione marittimo,1,43.6015040893904,10.874193846082251,0.0,0.0,1.0,1.0,0.6260939509199578,1.0,0.0,573163.7318011466,1.0,0.0,0.7025557236729923,0.6898016901681625,0.8351203829375043,0.0
castiglione messer raimondo,1,43.777328942993165,12.442993979817238,1.0,1.0,1.0,1.0,0.7658689786105144,0.0,0.0,558395.901950029,0.0,0.0,0.6806258973170012,0.8437994251767443,0.0,0.0
castiglione olona,1,42.23687252707384,12.05896877502712,1.0,1.0,1.0,1.0,0.6600626876114599,0.0,0.0,267757.70469815633,0.0,0.0,0.2490360657433732,0.7272268912074727,0.0,0.0
castiglioni,1,40.26018383094856,13.899490133724973,1.0,1.0,1.0,1.0,0.0,0.0,0.0,364528.7919852292,0.0,0.0,0.39273850285706724,0.0,0.0,0.0
castione andevenno,1,41.884690237512565,12.293606503590816,1.0,1.0,0.0,0.0,0.5372947288681416,0.0,1.0,109832.40107902569,0.0,1.0,0.014521277822614092,0.5919667672033954,0.0,0.25296527891199744
castione de' baratti,1,40.268631129531286,12.924143033313245,0.0,0.0,0.0,0.0,0.0,1.0,1.0,429755.3985263446,1.0,1.0,0.48959824255192574,0.0,0.0,0.0
castione della presolana,1,43.2046860131813,12.417522876331232,1.0,1.0,1.0,1.0,0.4193298595557714,0.0,0.0,207829.97285644367,0.0,0.0,0.16004501110322933,0.46199846753754803,0.0,0.0
castionetto,1,40.89958722292163,12.23253663251286,0.0,0.0,0.0,0.0,0.0,1.0,1.0,269952.5098402782,1.0,1.0,0.25229529178655014,0.0,0.0,0.0
castions,1,40.35202411004581,13.574138333993748,0.0,0.0,0.0,0.0,0.0,1.0,1.0,264946.89439976495,1.0,1.0,0.24486208876877463,0.0,0.0,0.0
castorano,1,43.471918506923615,12.332423029119592,0.0,0.0,0.0,0.0,0.6814942204502334,1.0,1.0,281807.292534532,1.0,1.0,0.2698993222090242,0.7508391742416055,0.6374849303718817,0.6374849303718817
castri di lecce,1,40.52968258458907,18.577194118382675,1.0,1.0,0.0,0.0,0.0,0.0,1.0,226577.44885884435,0.0,1.0,0.1878845039393851,0.0,0.0,0.0
castrignano de' greci,1,40.71637975731272,11.56887117373416,1.0,1.0,0.0,0.0,0.0,0.0,1.0,531900.6266158575,0.0,1.0,0.6412811328397356,0.0,0.0,0.0
castrignano del capo,1,43.49356583163688,11.57996108219613,1.0,1.0,1.0,1.0,0.7176573140151651,0.0,0.0,392659.680564402,0.0,0.0,0.4345121085933431,0.7906820173582744,0.0,0.0
castropignano,1,40.4121485239004,13.617855034209317,0.0,0.0,0.0,0.0,0.0,1.0,1.0,435944.4319737586,1.0,1.0,0.49878878917803937,0.0,0.0,0.0
casumaro,1,43.97802041688224,10.048036652337055,0.0,0.0,0.0,0.0,0.0,1.0,1.0,510825.83793787466,1.0,1.0,0.6099856438710303,0.0,0.0,0.0
catabbio,2,42.03279672593628,11.427171005301833,1.0,0.5,1.0,0.5,0.0,0.5,0.5,353730.46984901617,0.5,0.5,0.3767032876784955,0.0,0.0,0.0
catania,49,42.340726757974224,11.593074416181278,18.0,0.3673469387755102,15.0,0.30612244897959184,0.3932474721789748,0.6326530612244898,0.6938775510204082,748563.754068862,0.6326530612244898,0.6938775510204082,0.9630199943171226,0.43326208561004537,0.6653092097135668,0.6967582936763348
catanzaro,1,41.87557194203514,10.087155799049022,1.0,1.0,1.0,1.0,0.0,0.0,0.0,259531.87527854065,0.0,0.0,0.23682093240118327,0.0,0.0,0.0
cataratti,1,41.28664988557899,10.528647110100096,0.0,0.0,1.0,1.0,0.0,1.0,0.0,217874.828377162,1.0,0.0,0.17496134881575384,0.0,0.0,0.0
catona,1,42.29411580582229,13.824188574447732,1.0,1.0,1.0,1.0,0.7937267577779699,0.0,0.0,166186.1244517255,0.0,0.0,0.09820502692697802,0.8744918526084524,0.0,0.0
cattolica,1,41.077081697220834,12.36235863095434,1.0,1.0,0.0,0.0,0.0,0.0,1.0,243412.41349342663,0.0,1.0,0.21288396932242515,0.0,0.0,0.0
cattolica eraclea,2,41.17442591192967,10.81402455427105,1.0,0.5,0.0,0.0,0.0,0.5,1.0,217663.78511172693,0.5,1.0,0.1746479552967838,0.0,0.0,0.0
caturano,1,40.82698658296096,12.486518312172857,1.0,1.0,0.0,0.0,0.0,0.0,1.0,150362.53391296754,0.0,1.0,0.07470742461562661,0.0,0.0,0.0
caulonia,1,40.54469656944629,11.001492202827912,0.0,0.0,1.0,1.0,0.0,1.0,0.0,514939.381964466,1.0,0.0,0.6160941450604617,0.0,0.0,0.0
cavaglio spoccia,1,41.94328223544159,10.343894941116847,2.0,2.0,1.0,1.0,0.0,0.0,0.0,302675.58614204463,0.0,0.0,0.30088817160479076,0.0,0.0,0.0
cavagnolo,1,42.62333755046962,10.620374425084009,1.0,1.0,1.0,1.0,0.0,0.0,0.0,435991.7821722076,0.0,0.0,0.4988591029370938,0.0,0.0,0.0
cavalcaselle,1,40.30991226385492,12.853126889528944,1.0,1.0,1.0,1.0,0.0,0.0,0.0,476332.9019963835,0.0,0.0,0.5587645705426442,0.0,0.0,0.0
cavalese,1,42.1108044363452,13.971859184477202,0.0,0.0,1.0,1.0,0.4766329514531354,1.0,0.0,231492.97933756883,1.0,0.0,0.1951839332348717,0.5251323942981926,0.5385015796278934,0.0
cavallasca,1,43.75487720791145,13.220373507198104,0.0,0.0,0.0,0.0,0.0,1.0,1.0,160018.6615682561,1.0,1.0,0.08904651200264277,0.0,0.0,0.0
cavallina,1,41.13062261102938,10.7356482049313,1.0,1.0,1.0,1.0,0.0,0.0,0.0,193009.0256113552,0.0,0.0,0.1380363068594235,0.0,0.0,0.0
cavanella po,1,40.74466014298428,10.50264458231833,0.0,0.0,0.0,0.0,0.0,1.0,1.0,507000.4554311527,1.0,1.0,0.6043050547145058,0.0,0.0,0.0
cavarzere,2,43.06807018669351,11.863858768053205,1.0,0.5,2.0,1.0,0.4749631900838341,0.5,0.0,314466.89459624916,0.5,0.0,0.3183979445042304,0.5232927275628263,0.4406817025339546,0.0
cavatore,1,43.25304920540262,12.570868618982232,0.0,0.0,0.0,0.0,0.7082460124597473,1.0,1.0,132691.70359560114,1.0,1.0,0.048466721388896204,0.7803130755883203,0.38378400400603035,0.38378400400603035
cavazzana,1,42.66940465220159,10.17538740998652,0.0,0.0,0.0,0.0,0.0,1.0,1.0,114096.277133048,1.0,1.0,0.020853017990997827,0.0,0.0,0.0
cavazzona,1,41.93747260537063,12.2954510958506,1.0,1.0,0.0,0.0,0.4742955396495234,0.0,1.0,247035.5524923193,0.0,1.0,0.21826423236109513,0.5225571408392167,0.0,0.5563159722889376
cavedago,1,40.93183789901453,10.097603126226153,0.0,0.0,1.0,1.0,0.0,1.0,0.0,194852.2522624192,1.0,0.0,0.14077344838936262,0.0,0.0,0.0
cavernago,1,42.53411884304358,12.143098736299034,1.0,1.0,0.0,0.0,0.6492001930115245,0.0,1.0,109673.76932737092,0.0,1.0,0.01428571397854173,0.7152590912894763,0.0,0.2614347192131022
cavezzo,1,40.33906461770533,13.2305034782519,0.0,0.0,0.0,0.0,0.0,1.0,1.0,260826.36723358973,1.0,1.0,0.23874321780666585,0.0,0.0,0.0
cavi,1,41.07697292379753,11.50913665241849,1.0,1.0,0.0,0.0,0.0,0.0,1.0,270684.6205624945,0.0,1.0,0.2533824563309296,0.0,0.0,0.0
cavizzana,2,41.16545565893385,11.193333692875571,2.0,1.0,2.0,1.0,0.0,0.0,0.0,279802.16104545374,0.0,0.0,0.266921756390639,0.0,0.0,0.0
cavoli,1,43.78655490885981,13.68214092495851,0.0,0.0,0.0,0.0,0.0,1.0,1.0,122256.3865152608,1.0,1.0,0.03297055886206072,0.0,0.0,0.0
cavour,1,42.65409437565381,11.644789955530182,1.0,1.0,0.0,0.0,0.6313457150033298,0.0,1.0,262951.1005538484,0.0,1.0,0.24189838909695088,0.6955878437250711,0.0,0.6075195940232117
cavriana,2,40.5547794014579,10.95209010020122,0.0,0.0,0.0,0.0,0.0,1.0,1.0,228362.45727389923,1.0,1.0,0.1905351929695796,0.0,0.0,0.0
cavrie,1,40.24983037447629,13.533859051944242,0.0,0.0,0.0,0.0,0.0,1.0,1.0,255177.4838592611,1.0,1.0,0.23035477937304613,0.0,0.0,0.0
cazzago,1,43.73446607692147,12.0460605443329,1.0,1.0,0.0,0.0,0.8859112881111788,0.0,1.0,541932.6779970168,0.0,1.0,0.6561784567526704,0.9760565534616878,0.0,0.8770040252588038
cazzago brabbia,2,42.75774205070654,11.017011607560923,1.0,0.5,1.0,0.5,0.2920070141895096,0.5,0.5,234127.29560068127,0.5,0.5,0.19909582135920892,0.3217199777012915,0.34729557645644293,0.34729557645644293
cecalocco,2,42.998928719037124,12.98201029521866,1.0,0.5,1.0,0.5,0.5798570318015044,0.5,0.5,215178.23878394155,0.5,0.5,0.17095698648703825,0.6388599666309625,0.38056793453181625,0.38056793453181625
cecchina,1,41.33600287530638,10.143237177670922,0.0,0.0,1.0,1.0,0.0,1.0,0.0,581306.2709299799,1.0,0.0,0.7146471731948503,0.0,0.0,0.0
ceciliano,1,40.26811231615009,13.582876698992006,1.0,1.0,0.0,0.0,0.0,0.0,1.0,100489.9012040984,0.0,1.0,0.0006479191738808286,0.0,0.0,0.0
cecina,1,41.08953831705316,13.328248387016604,0.0,0.0,0.0,0.0,0.0,1.0,1.0,179498.68755811223,1.0,1.0,0.11797382168013126,0.0,0.0,0.0
cedegolo,1,43.63104497460071,10.349667231484336,1.0,1.0,1.0,1.0,0.570272172095238,0.0,0.0,500914.6926935695,0.0,0.0,0.5952678622885069,0.6282998064254655,0.0,0.0
cella monte,2,41.51234731226463,12.608944521053854,2.0,1.0,2.0,1.0,0.4845561887929311,0.0,0.0,329852.56142129906,0.0,0.0,0.3412452419911352,0.5338618549495275,0.0,0.0
celleno,1,40.26077120873877,10.199689942653515,0.0,0.0,0.0,0.0,0.0,1.0,1.0,167504.2189188164,1.0,1.0,0.10016236142199239,0.0,0.0,0.0
cellino attanasio,1,42.27322041837935,13.19250019202572,1.0,1.0,0.0,0.0,0.8229006223866422,0.0,1.0,513060.65121842746,0.0,1.0,0.6133042809134849,0.906634282807993,0.0,0.8468163337017381
cellino san marco,2,41.777278439470344,10.731263502926375,1.0,0.5,0.0,0.0,0.0,0.5,1.0,204840.0463972276,0.5,1.0,0.15560505149312928,0.0,0.0,0.0
cenate di sotto,1,41.65135759103563,13.439417961340489,1.0,1.0,0.0,0.0,0.6143903086459879,0.0,1.0,206102.37783884627,0.0,1.0,0.15747957940938304,0.6769071522001059,0.0,0.5312183816640479
cenate sopra,1,41.29846896924591,10.731095610653986,1.0,1.0,1.0,1.0,0.0,0.0,0.0,476893.7932835376,0.0,0.0,0.5595974788748692,0.0,0.0,0.0
cencenighe agordino,1,43.31461162447316,13.13387824019707,0.0,0.0,1.0,1.0,0.6031408030187504,1.0,0.0,405745.5971171856,1.0,0.0,0.45394433936825385,0.664512961226335,0.727112268809671,0.0
cene,1,43.08195743400518,13.863800820450294,1.0,1.0,1.0,1.0,0.0,0.0,0.0,276020.5554096192,0.0,0.0,0.2613061746987621,0.0,0.0,0.0
centenaro,1,41.31258872206028,13.632758382786012,0.0,0.0,1.0,1.0,0.5403954473040968,1.0,0.0,234515.9210834397,1.0,0.0,0.1996729196492302,0.595382997011581,0.5559747088269915,0.0
cento,1,41.98127058773564,11.710767152133844,1.0,1.0,0.0,0.0,0.0,0.0,1.0,281502.4545502019,0.0,1.0,0.2694466460791889,0.0,0.0,0.0
centola,1,41.22709100541133,11.90090986800696,1.0,1.0,1.0,1.0,0.0,0.0,0.0,143118.60565045904,0.0,0.0,0.06395038783137322,0.0,0.0,0.0
centro urbano,2,43.92366383078385,10.745210423968754,2.0,1.0,0.0,0.0,0.8331213370295774,0.0,1.0,341407.6339590809,0.0,1.0,0.35840421096891356,0.9178949989114847,0.0,0.722554369724219
centuripe,1,41.73992079155218,12.909169908958274,1.0,1.0,0.0,0.0,0.5573490980309802,0.0,1.0,118887.34703369936,0.0,1.0,0.027967626707372514,0.6140617542631743,0.0,0.31019807193832266
ceolini,2,42.95638775622882,12.42935127066055,2.0,1.0,1.0,0.5,0.4816720720628038,0.0,0.5,380826.9643592153,0.0,0.5,0.41694084630798917,0.5306842669978139,0.0,0.47915340392107814
cepagatti,1,43.1057897859989,12.624647350724286,1.0,1.0,0.0,0.0,0.6738977041110324,0.0,1.0,284157.7953322469,0.0,1.0,0.2733897550432878,0.742469679851073,0.0,0.6385139873239216
cepina valdisotto,1,42.22826373073567,13.411824454694996,1.0,1.0,1.0,1.0,0.4694553070099341,0.0,0.0,161353.02505213453,0.0,0.0,0.09102800554585384,0.5172243938118897,0.0,0.0
ceppagna,1,42.72483703128619,13.008619569030664,0.0,0.0,1.0,1.0,0.6486717198800452,1.0,0.0,296241.2726512987,1.0,0.0,0.29133339077411985,0.7146768437549533,0.6458609413140451,0.0
ceppaloni,1,43.48131613821638,13.103445754634608,0.0,0.0,0.0,0.0,0.6661141402636643,1.0,1.0,245921.88143583247,1.0,1.0,0.2166104610803676,0.7338941050678361,0.594060269475243,0.594060269475243
ceprano,1,42.62728922605684,12.615218637537325,0.0,0.0,0.0,0.0,0.7781164332263731,1.0,1.0,155142.07788911098,1.0,1.0,0.08180491764705645,0.8572931107200459,0.4575722626263494,0.4575722626263494
ceranova,1,41.227106398088566,11.411834013809424,0.0,0.0,1.0,1.0,0.0,1.0,0.0,269385.3053234983,1.0,0.0,0.2514530084797463,0.0,0.0,0.0
cerasi,1,43.475403007204655,11.659391879239292,1.0,1.0,1.0,1.0,0.7006156810772796,0.0,0.0,493048.3084302711,0.0,0.0,0.583586495243871,0.7719063253291372,0.0,0.0
cerasolo,1,43.479074272055705,11.728099198534968,1.0,1.0,1.0,1.0,0.6172192501868836,0.0,0.0,469268.4730844562,0.0,0.0,0.5482740854202763,0.6800239506509286,0.0,0.0
cerasuolo,2,42.500113555970245,12.38578699714584,1.0,0.5,0.0,0.0,0.6599781689518296,0.5,1.0,241995.55960046244,0.5,1.0,0.21077997976148344,0.727133772412477,0.4158691195916137,0.5881277490986186
cercemaggiore,1,42.04904225550504,11.94949923168498,1.0,1.0,1.0,1.0,0.7942650877571232,0.0,0.0,572776.5192970281,0.0,0.0,0.7019807236178864,0.8750849599670885,0.0,0.0
cercepiccola,2,40.88950457383025,12.187725358097042,1.0,0.5,1.0,0.5,0.0,0.5,0.5,332920.0538168601,0.5,0.5,0.34580038491065396,0.0,0.0,0.0
cerchiara di calabria,1,43.46728594275395,13.57589222985002,1.0,1.0,0.0,0.0,0.4277333699638894,0.0,1.0,270591.0774706658,0.0,1.0,0.2532435473794257,0.4712570710975218,0.0,0.5697877296139847
cerchio,1,43.54369468166721,13.390445496862595,1.0,1.0,1.0,1.0,0.450608755415372,0.0,0.0,287684.1548470202,0.0,0.0,0.27862630317577614,0.4964601249275343,0.0,0.0
cercola,1,43.95462621965605,12.003479813528662,1.0,1.0,0.0,0.0,0.8082311638872962,0.0,1.0,258008.3511930109,0.0,1.0,0.23455854050056768,0.8904721441196506,0.0,0.6324110400853142
cerdomare,2,43.66950608645752,12.194657660449213,0.0,0.0,1.0,0.5,0.8779636569321367,1.0,0.5,281832.51220877725,1.0,0.5,0.2699367727405192,0.9673002167935553,0.6706421916454673,0.47421564146231815
cerea,1,42.3404866437085,11.771656392167854,1.0,1.0,0.0,0.0,0.5668089765234258,0.0,1.0,359808.760112034,0.0,1.0,0.3857293836826558,0.6244842158814126,0.0,0.6838944985868711
cereda,1,41.07100666215817,12.28759587064148,1.0,1.0,1.0,1.0,0.0,0.0,0.0,223840.82700709376,0.0,0.0,0.18382069479369947,0.0,0.0,0.0
cereglio,1,41.65325024560444,11.68093053120584,0.0,0.0,1.0,1.0,0.0,1.0,0.0,212221.9338003031,1.0,0.0,0.16656695385528794,0.0,0.0,0.0
cerenzia,1,41.43187130223866,13.524680353896697,0.0,0.0,0.0,0.0,0.7665822426956621,1.0,1.0,186166.1383607497,1.0,1.0,0.12787480508886734,0.8445852669353944,0.5216319638931702,0.5216319638931702
cereseto,1,41.67708664466409,10.07249616418292,0.0,0.0,1.0,1.0,0.0,1.0,0.0,278151.9768676547,1.0,0.0,0.2644712776920509,0.0,0.0,0.0
ceretto,1,42.24151944054707,11.591829109183076,1.0,1.0,0.0,0.0,0.0,0.0,1.0,285260.83440896845,0.0,1.0,0.27502773812274106,0.0,0.0,0.0
cerfignano,1,40.85520484265093,10.422054585604805,0.0,0.0,1.0,1.0,0.0,1.0,0.0,167378.9100083198,1.0,0.0,0.09997628109226536,0.0,0.0,0.0
cergnago,1,42.46162270971108,11.28633576144986,0.0,0.0,1.0,1.0,0.7229724047501175,1.0,0.0,122349.07679284916,1.0,0.0,0.03310820140757307,0.7965379413246058,0.3437335869040402,0.0
cerlongo,1,43.49353665748419,10.336006858082502,1.0,1.0,0.0,0.0,0.6621597812718576,0.0,1.0,180306.81396487085,0.0,1.0,0.11917386745209459,0.7295373731235777,0.0,0.4959796057274614
cernobbio,1,42.07567082113136,10.18786386710022,1.0,1.0,0.0,0.0,0.0138470684296637,0.0,1.0,249041.8379219673,0.0,1.0,0.22124351174989484,0.015256066909161614,0.0,0.2755178114077605
cernusco lombardone,1,41.28265101894573,12.20935205382201,0.0,0.0,0.0,0.0,0.0,1.0,1.0,192777.7084977656,1.0,1.0,0.13769280722641514,0.0,0.0,0.0
cernusco sul naviglio,1,41.05003441706618,10.487556848321436,0.0,0.0,0.0,0.0,0.0,1.0,1.0,278909.5487958552,1.0,1.0,0.2655962514359997,0.0,0.0,0.0
cerone,1,41.92816423244833,10.78439085095357,0.0,0.0,0.0,0.0,0.0,1.0,1.0,120117.34796381537,1.0,1.0,0.029794144691875843,0.0,0.0,0.0
cerreto grue,1,40.85241881610033,10.124536331538046,0.0,0.0,1.0,1.0,0.0,1.0,0.0,318963.5143167826,1.0,0.0,0.3250753026979775,0.0,0.0,0.0
cerreto laziale,1,42.02100948979143,13.305829864430969,1.0,1.0,0.0,0.0,0.7319176411872617,0.0,1.0,344631.84567580523,0.0,1.0,0.3631920778251508,0.8063933938556984,0.0,0.7068875004519038
cerretti,1,42.899157204781744,10.23810478748729,1.0,1.0,0.0,0.0,0.0,0.0,1.0,271100.70582315745,0.0,1.0,0.25400033164555713,0.0,0.0,0.0
cerrione,1,40.362883530991326,11.05078190800774,0.0,0.0,0.0,0.0,0.0,1.0,1.0,283676.63938603003,1.0,1.0,0.27267525152739774,0.0,0.0,0.0
cerrisi,1,40.02376702337742,10.190833365815488,0.0,0.0,1.0,1.0,0.0,1.0,0.0,328145.4024383456,1.0,0.0,0.3387101572538604,0.0,0.0,0.0
cerro veronese,2,42.56016154104441,11.753101964340338,1.0,0.5,1.0,0.5,0.4481851874767641,0.5,0.5,173548.21638609466,0.5,0.5,0.10913753355559004,0.49378994857807007,0.31592623483852167,0.31592623483852167
certosa di pavia,1,43.98243484605771,10.306479255718594,0.0,0.0,1.0,1.0,0.859950122367559,1.0,0.0,210144.43544450824,1.0,0.0,0.16348192520471816,0.9474537279873778,0.5745826722933653,0.0
cervara di roma,1,41.52483823484478,12.49157691011127,0.0,0.0,1.0,1.0,0.0,1.0,0.0,540026.6295162388,1.0,0.0,0.6533480265113306,0.0,0.0,0.0
cerveteri,1,43.500748853834914,11.38866735869717,0.0,0.0,1.0,1.0,0.6585760993937663,1.0,0.0,259583.2556518489,1.0,0.0,0.23689723086047723,0.7255890362758888,0.6088441501425856,0.0
cervia milano marittima,2,45.50546069258415,9.03137670992147,0.0,0.0,0.0,0.0,0.4369899037044834,1.0,1.0,296079.3788147883,1.0,1.0,0.29109298282260826,0.48145549676507254,0.5966515192163359,0.5966515192163359
cerza,1,41.29277626129735,11.274789029141589,1.0,1.0,1.0,1.0,0.0,0.0,0.0,504025.8373926055,0.0,0.0,0.5998878276934481,0.0,0.0,0.0
cerzeto,1,40.57387782807208,10.60578208774143,0.0,0.0,1.0,1.0,0.0,1.0,0.0,421328.1269444572,1.0,0.0,0.4770839730682762,0.0,0.0,0.0
cesacastina,1,41.82792143851202,11.313089174232603,0.0,0.0,1.0,1.0,0.0,1.0,0.0,323310.6541053216,1.0,0.0,0.3315306872513597,0.0,0.0,0.0
cesana torinese,1,43.24351432403167,13.343303711642063,0.0,0.0,0.0,0.0,0.416115957742124,1.0,1.0,233229.66139620505,1.0,1.0,0.19776285893793127,0.45845753745855433,0.5261423291271016,0.5261423291271016
cesano,1,41.88494674916659,13.505408452108767,0.0,0.0,0.0,0.0,0.7184407192647428,1.0,1.0,296315.2359180846,1.0,1.0,0.2914432242170623,0.7915451374450462,0.6592669825319721,0.6592669825319721
cesate,1,40.471004331560565,12.306065902057014,1.0,1.0,0.0,0.0,0.0,0.0,1.0,137516.25606507016,0.0,1.0,0.05563105081085366,0.0,0.0,0.0
cesi,1,43.006868165913936,12.987898418747085,0.0,0.0,0.0,0.0,0.723176682250611,1.0,1.0,101427.45218549752,1.0,1.0,0.002040156925077278,0.7967630049351018,0.14899267047703688,0.14899267047703688
cessaniti,1,43.8400475232765,13.28184516063326,1.0,1.0,1.0,1.0,0.0,0.0,0.0,243727.52269416835,0.0,0.0,0.21335189792974982,0.0,0.0,0.0
cessapalombo,1,40.897388745487056,13.781184979749538,0.0,0.0,0.0,0.0,0.0,1.0,1.0,177074.27860282658,1.0,1.0,0.1143736402085591,0.0,0.0,0.0
cessole,1,40.53203919562932,10.63494705349724,1.0,1.0,0.0,0.0,0.0,0.0,1.0,225560.73698607832,0.0,1.0,0.1863747144138682,0.0,0.0,0.0
cesta,1,42.13421773421432,10.000964018740538,1.0,1.0,0.0,0.0,0.0,0.0,1.0,225464.7984353666,0.0,1.0,0.18623224827096405,0.0,0.0,0.0
cesuna,1,41.56574408089142,13.95968596509976,1.0,1.0,0.0,0.0,0.7277395622148441,0.0,1.0,261922.20096839248,0.0,1.0,0.24037050114900765,0.801790177465259,0.0,0.6238447103167436
cesuola,1,43.04396304011237,10.141245419760956,0.0,0.0,1.0,1.0,0.0,1.0,0.0,506924.8077577639,1.0,0.0,0.6041927199734926,0.0,0.0,0.0
cevoli,1,43.06172886697909,12.976941033748956,0.0,0.0,0.0,0.0,0.879750697646464,1.0,1.0,241606.79616662176,1.0,1.0,0.2102026766178506,0.9692690965492707,0.6224154232556285,0.6224154232556285
challand saint victor,1,43.42187011646442,10.200675373994756,0.0,0.0,1.0,1.0,0.0,1.0,0.0,244074.3873246693,1.0,0.0,0.2138669824880504,0.0,0.0,0.0
chamois,1,41.37616315445891,13.49831806554937,0.0,0.0,0.0,0.0,0.6582347331098551,1.0,1.0,152048.56761991046,1.0,1.0,0.07721113889161471,0.7252129345115093,0.4349076989392602,0.4349076989392602
champdepraz,1,42.01487773835983,13.320811537383047,0.0,0.0,1.0,1.0,0.6907417609666583,1.0,0.0,237979.51551272807,1.0,0.0,0.20481626333395744,0.761027691585936,0.5884227068730431,0.0
